Character,Definition,pinyin,decomposition,radical,,,,,,,,,,,,,,,,,,,,,,,,,,,
丐,beggar; to beg; to give,"""gài""",⿱下？,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丑,ugly; shameful; comedian;clown,"""chǒu""",⿻刀二,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
专,concentrated;specialized; to monopolize,"""zhuān""",⿻？一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
且,moreover;also (post-subject); about to;will soon (pre-verb),"""qiě""",⿱月一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丕,great;grand;glorious;distinguished,"""pī""",⿱不一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
世,generation;era;age; world,"""shì""",⿻廿？,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丘,mound;hill; surname,"""qiū""",⿱斤一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丙,third; 3rd heavenly stem,"""bǐng""",⿱一内,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
业,business;profession; to study;to work,"""yè""",⿱？一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丛,bush;shrub; thicket; collection,"""cóng""",⿱从一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
东,east;eastern;eastward,"""dōng""",⿻七小,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丝,silk;fine thread; wire; strings,"""sī""",⿱⿰？？一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丞,to aid;to assist;to rescue,"""chéng""",⿱氶一,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丟,to lose; to discard,"""diū""",⿱王厶,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丢,to lose; to discard,"""diū""",⿱王厶,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
两,two;both;pair;couple; ounce,"""liǎng""",⿱一⿻冂从,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
严,strict;rigorous;rigid; stern,"""yán""",⿻亚厂,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
並,to combine;to annex; also;what's more,"""bìng""",⿱丷亚,一,,,,,,,,,,,,,,,,,,,,,,,,,,,
丧,mourning; mourn; funeral,"""sàng""",⿱？亡,十,,,,,,,,,,,,,,,,,,,,,,,,,,,
丨,number one; line,"""shù""",？,丨,,,,,,,,,,,,,,,,,,,,,,,,,,,
